rank,country_full,confederation,total_points
88.0,China PR,AFC,1267.51
89.0,Equatorial Guinea,CAF,1260.5
90.0,Zambia,CAF,1258.4
91.0,Benin,CAF,1254.18
92.0,Angola,CAF,1248.94
93.0,Syria,AFC,1246.68
94.0,Uganda,CAF,1242.96
95.0,Palestine,AFC,1231.25
96.0,Armenia,UEFA,1230.79
97.0,Namibia,CAF,1219.83
98.0,Belarus,UEFA,1219.78
99.0,Trinidad and Tobago,CONCACAF,1219.44
100.0,Thailand,AFC,1218.56
101.0,Kyrgyz Republic,AFC,1213.58
102.0,Tajikistan,AFC,1212.41
103.0,Mozambique,CAF,1205.82
104.0,Madagascar,CAF,1203.66
105.0,Kosovo,UEFA,1203.16
106.0,Guatemala,CONCACAF,1199.21
107.0,New Zealand,OFC,1197.68
108.0,Kenya,CAF,1195.45
109.0,Kazakhstan,UEFA,1193.62
110.0,Korea DPR,AFC,1183.96
111.0,Azerbaijan,UEFA,1179.88
112.0,Mauritania,CAF,1177.5
113.0,Congo,CAF,1176.45
114.0,Tanzania,CAF,1174.99
115.0,Guinea-Bissau,CAF,1168.49
116.0,Vietnam,AFC,1168.02
117.0,Lebanon,AFC,1167.64
118.0,Libya,CAF,1165.73
119.0,Comoros,CAF,1158.71
120.0,Togo,CAF,1158.7
121.0,Sudan,CAF,1152.29
122.0,Sierra Leone,CAF,1149.4
123.0,Estonia,UEFA,1146.47
124.0,India,AFC,1139.39
125.0,Malawi,CAF,1137.83
126.0,Cyprus,UEFA,1136.78
127.0,Central African Republic,CAF,1129.3
128.0,Niger,CAF,1125.5
129.0,Zimbabwe,CAF,1122.54
130.0,Nicaragua,CONCACAF,1119.88
131.0,Rwanda,CAF,1114.15
132.0,The Gambia,CAF,1112.55
133.0,Solomon Islands,OFC,1111.02
134.0,Indonesia,AFC,1108.73
135.0,Malaysia,AFC,1107.58
136.0,Lithuania,UEFA,1100.66
137.0,Kuwait,AFC,1098.42
138.0,Latvia,UEFA,1095.98
139.0,Faroe Islands,UEFA,1093.7
140.0,Burundi,CAF,1091.24
141.0,Suriname,CONCACAF,1087.77
142.0,Liberia,CAF,1067.05
143.0,Ethiopia,CAF,1066.16
144.0,Turkmenistan,AFC,1065.42
145.0,Botswana,CAF,1064.19
146.0,St Kitts and Nevis,CONCACAF,1059.53
147.0,Philippines,AFC,1053.03
148.0,Antigua and Barbuda,CONCACAF,1052.8
149.0,Lesotho,CAF,1050.83
150.0,Dominican Republic,CONCACAF,1045.64
151.0,Afghanistan,AFC,1034.37
152.0,Moldova,UEFA,1033.75
153.0,Guyana,CONCACAF,1026.61
154.0,Eswatini,CAF,1025.18
155.0,Yemen,AFC,1021.24
156.0,Puerto Rico,CONCACAF,1020.22
157.0,Hong Kong,AFC,1011.91
158.0,New Caledonia,OFC,1008.92
159.0,Singapore,AFC,1008.26
160.0,Maldives,AFC,1003.48
161.0,Tahiti,OFC,999.48
162.0,Andorra,UEFA,996.05
163.0,Chinese Taipei,AFC,991.34
164.0,Myanmar,AFC,988.98
165.0,Papua New Guinea,OFC,985.32
166.0,Fiji,OFC,983.81
167.0,South Sudan,CAF,980.02
168.0,St Lucia,CONCACAF,979.57
169.0,Cuba,CONCACAF,975.01
170.0,Vanuatu,OFC,972.14
171.0,Bermuda,CONCACAF,971.15
172.0,Malta,UEFA,970.62
173.0,Grenada,CONCACAF,953.67
174.0,St Vincent and the Grenadines,CONCACAF,938.4
175.0,Nepal,AFC,935.93
176.0,Montserrat,CONCACAF,934.46
177.0,Barbados,CONCACAF,932.64
178.0,Chad,CAF,929.97
179.0,Mauritius,CAF,927.94
180.0,Cambodia,AFC,924.52
181.0,Samoa,OFC,920.54
182.0,Dominica,CONCACAF,912.93
183.0,Bhutan,AFC,904.1
184.0,Belize,CONCACAF,901.43
185.0,Bangladesh,AFC,896.67
186.0,Macau,AFC,896.62
187.0,Cook Islands,OFC,896.59
188.0,American Samoa,OFC,890.97
189.0,Laos,AFC,889.62
190.0,Mongolia,AFC,884.92
191.0,Brunei Darussalam,AFC,881.73
192.0,Sao Tome and Principe,CAF,878.09
193.0,Djibouti,CAF,875.13
194.0,Aruba,CONCACAF,873.9
195.0,Cayman Islands,CONCACAF,865.34
196.0,Timor-Leste,AFC,843.4
197.0,Pakistan,AFC,842.59
198.0,Gibraltar,UEFA,836.14
199.0,Liechtenstein,UEFA,835.83
200.0,Tonga,OFC,833.12
201.0,Seychelles,CAF,831.96
202.0,Somalia,CAF,829.81
203.0,Bahamas,CONCACAF,823.58
204.0,Guam,AFC,821.91
205.0,Sri Lanka,AFC,820.32
206.0,Turks and Caicos Islands,CONCACAF,817.03
207.0,British Virgin Islands,CONCACAF,801.29
208.0,US Virgin Islands,CONCACAF,797.29
209.0,Anguilla,CONCACAF,779.86
210.0,San Marino,UEFA,739.64
