,rank,country_full,confederation,total_points,nota_ranking,titulos,nota_titulos,pontos_campanha,nota_campanha,nota_aproveitamento,nota_gols_marcados,nota_gols_sofridos,pontuacao_final
25,41.0,Tunisia,CAF,1494.06,62.264150943396224,0.0,0.0,0.0,0.0,73.82297551789078,51.47553971083383,68.06569343065694,53.10697167460105
26,42.0,Turkey,UEFA,1493.38,61.32075471698113,0.0,0.0,0.0,0.0,75.19260400616332,71.56052503646086,11.396814863968135,51.55846730887636
27,30.0,Ecuador,CONMEBOL,1517.54,72.64150943396226,0.0,0.0,0.0,0.0,63.022201002625934,38.97717857949838,69.64891539015112,50.75930706276734
28,62.0,Uzbekistan,AFC,1397.41,42.45283018867924,0.0,0.0,0.0,0.0,76.76325861126298,61.89408314645506,62.46173769719802,50.04570178888258
29,43.0,Panama,CONCACAF,1482.1,60.37735849056604,0.0,0.0,0.0,0.0,67.94561370832558,60.821531409766706,25.393037619314985,48.671356400502326
30,39.0,Scotland,UEFA,1497.18,64.15094339622641,0.0,0.0,0.0,0.0,64.56820016142049,56.811815635345056,22.810218978102192,47.75187178382969
31,59.0,South Africa,CAF,1416.66,45.28301886792453,0.0,0.0,0.0,0.0,71.72167707404104,50.007036307345906,64.56972723780254,47.332431118839736
32,55.0,Iraq,AFC,1433.07,49.056603773584904,0.0,0.0,0.0,0.0,68.67708562623818,46.96159455517744,48.822163238221634,45.375860516547505
33,35.0,Qatar,AFC,1504.06,67.9245283018868,0.0,0.0,0.0,0.0,60.78316773816481,51.3184584178499,9.570853259501638,45.36402326295243
34,86.0,Haiti,CONCACAF,1274.46,19.81132075471698,0.0,0.0,0.0,0.0,70.40417209908735,85.85972850678733,26.403705783267817,43.46645762922054
35,56.0,Saudi Arabia,AFC,1431.3,48.113207547169814,0.0,0.0,0.0,0.0,62.15958864978099,43.117226461575434,55.89477569097022,43.36498194809102
36,68.0,Jordan,AFC,1374.13,36.79245283018868,0.0,0.0,0.0,0.0,65.48160396858206,58.947437067953565,26.317429232686486,41.38040963284164
37,64.0,Ghana,CAF,1381.25,40.56603773584906,0.0,0.0,0.0,0.0,54.23728813559322,44.51235039470333,30.10948905109489,36.96794408798364
38,58.0,Paraguay,CONMEBOL,1427.11,46.22641509433962,0.0,0.0,0.0,0.0,47.457627118644076,32.593582887700535,27.700729927007306,34.108904696559996
39,107.0,New Zealand,OFC,1197.68,0.0,0.0,0.0,0.0,0.0,60.16949152542374,68.41577540106952,45.71167883211679,33.89839076003576
40,75.0,Bosnia and Herzegovina,UEFA,1332.3,30.18867924528302,0.0,0.0,0.0,0.0,45.0363196125908,39.533995416348354,0.0,27.767185578769695
41,11.0,USA,CONCACAF,1676.52,90.56603773584906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45283018867925
42,20.0,IR Iran,AFC,1611.16,82.0754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.160377358490567
43,22.0,Korea Republic,AFC,1572.87,80.18867924528303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.650943396226417
44,34.0,Czechia,UEFA,1506.23,68.86792452830188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59433962264151
45,37.0,Côte d'Ivoire,CAF,1499.69,66.0377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.830188679245285
46,61.0,Congo DR,CAF,1400.93,43.39622641509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.716981132075473
47,65.0,Cabo Verde,CAF,1380.53,39.62264150943396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69811320754717
48,87.0,Curacao,CONCACAF,1272.71,18.867924528301888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09433962264151
